Regions,Cells,Neurons,Glia,Excitatory,Inhibitory,Modulatory,Astrocytes,Oligodendrocytes,Microglia
Supplemental somatosensory area layer 4,129572,66352,63220,65217,897,238,3965,28547,30708
Supplemental somatosensory area layer 5,234191,111462,122729,108429,2246,787,8886,64687,49156
Supplemental somatosensory area layer 6a,238317,120184,118133,117673,1746,765,8060,69932,40141
Supplemental somatosensory area layer 6b,47747,21459,26288,20180,1133,146,1730,17114,7444
Gustatory areas,278578,155558,123020,139204,15385,969,20079,63384,39557
Gustatory areas layer 1,21520,12516,9004,0,12496,20,1664,2332,5008
Gustatory areas layer 2/3,69148,40893,28255,40269,506,118,4591,9328,14336
Gustatory areas layer 4,17969,9446,8523,9286,102,58,1247,3917,3359
Gustatory areas layer 5,82485,45335,37150,44213,731,391,6666,21449,9035
Gustatory areas layer 6a,75765,41458,34307,40284,840,334,5076,22244,6987
Gustatory areas layer 6b,11691,5910,5781,5152,710,48,835,4114,832
Visceral area,245624,141388,104236,125206,15412,770,6186,57353,40697
Visceral area layer 1,20065,12837,7228,0,12816,21,504,2471,4253
Visceral area layer 2/3,60670,38261,22409,36890,1271,100,1144,7886,13379
Visceral area layer 4,27076,15499,11577,15233,204,62,765,5837,4975
Visceral area layer 5,65064,36286,28778,35439,559,288,1987,17127,9664
Visceral area layer 6a,62442,33576,28866,32847,465,264,1333,20244,7289
Visceral area layer 6b,10307,4929,5378,4797,97,35,453,3788,1137
Auditory areas,1501379,873979,627400,798106,72565,3308,31575,333640,262185
Dorsal auditory area,469045,253991,215054,231970,20915,1106,13942,106312,94800
Dorsal auditory area layer 1,30713,16896,13817,0,16878,18,661,934,12222
Dorsal auditory area layer 2/3,129367,74873,54494,73939,802,132,3763,13181,37550
Dorsal auditory area layer 4,56766,31698,25068,31181,374,143,1849,11167,12052
Dorsal auditory area layer 5,132885,69460,63425,67762,1209,489,4746,37012,21667
Dorsal auditory area layer 6a,96160,50607,45553,49081,1248,278,2389,33369,9795
Dorsal auditory area layer 6b,23154,10457,12697,10007,404,46,534,10649,1514
Primary auditory area,515196,302082,213114,276380,24596,1106,9434,119290,84390
Primary auditory area layer 1,32743,19622,13121,0,19603,19,278,488,12355
